gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,opponentAbbrev,pim,toi,commonName.default,opponentCommonName.default,opponentCommonName.fr
2019020655,CAR,H,2020-01-05,0,0,0,0,0,0,0,0,1,21,0,0,TBL,0,16:27,Hurricanes,Lightning,NA
2019020668,CAR,H,2020-01-07,0,1,1,2,0,0,0,0,0,21,0,0,PHI,0,14:09,Hurricanes,Flyers,NA
2019020690,CAR,H,2020-01-10,1,0,1,1,0,0,0,0,2,21,0,0,ARI,0,16:16,Hurricanes,Coyotes,NA
2019020697,CAR,H,2020-01-11,0,0,0,0,0,0,0,0,0,19,0,0,LAK,2,13:25,Hurricanes,Kings,NA
2019020712,CAR,R,2020-01-13,0,0,0,-1,0,0,0,0,1,19,0,0,WSH,0,12:20,Hurricanes,Capitals,NA
2019020733,CAR,R,2020-01-16,1,0,1,1,0,0,0,0,2,19,0,0,CBJ,0,15:59,Hurricanes,Blue Jackets,NA
2019020741,CAR,H,2020-01-17,0,0,0,0,0,0,0,0,1,15,0,0,ANA,0,13:14,Hurricanes,Ducks,NA
2019020756,CAR,H,2020-01-19,0,0,0,-1,0,0,0,0,0,17,0,0,NYI,2,14:23,Hurricanes,Islanders,NA
2019020764,CAR,H,2020-01-21,1,0,1,1,0,0,0,0,2,17,0,0,WPG,0,14:15,Hurricanes,Jets,NA
2019020788,CAR,H,2020-01-31,0,0,0,0,0,0,0,0,0,16,0,0,VGK,0,13:33,Hurricanes,Golden Knights,NA
2019020808,CAR,H,2020-02-02,0,0,0,-1,0,0,0,0,1,18,0,0,VAN,0,15:49,Hurricanes,Canucks,NA
2019020820,CAR,R,2020-02-04,1,0,1,-1,1,1,0,0,2,19,0,0,STL,2,15:06,Hurricanes,Blues,NA
2019020838,CAR,R,2020-02-06,0,0,0,1,0,0,0,0,1,17,0,0,ARI,0,12:36,Hurricanes,Coyotes,NA
2019020854,CAR,R,2020-02-08,1,0,1,0,1,1,0,0,3,22,0,0,VGK,0,16:00,Hurricanes,Golden Knights,NA
2019020873,CAR,R,2020-02-11,0,0,0,-2,0,0,0,0,1,18,0,0,DAL,2,14:30,Hurricanes,Stars,NA
2019020894,CAR,H,2020-02-14,1,1,2,2,0,0,0,0,1,17,0,0,NJD,0,13:51,Hurricanes,Devils,NA
2019020908,CAR,H,2020-02-16,0,0,0,-1,0,0,0,0,3,20,0,0,EDM,0,16:48,Hurricanes,Oilers,NA
2019020925,CAR,R,2020-02-18,0,1,1,1,0,0,0,0,2,19,0,0,NSH,0,13:37,Hurricanes,Predators,NA
2019020942,CAR,H,2020-02-21,0,0,0,-1,0,0,0,0,0,19,0,0,NYR,0,14:04,Hurricanes,Rangers,NA
2019020951,CAR,R,2020-02-22,1,1,2,0,0,1,0,0,4,19,0,0,TOR,0,13:57,Hurricanes,Maple Leafs,NA
2019020974,CAR,H,2020-02-25,0,0,0,0,0,0,0,0,1,18,0,0,DAL,0,16:12,Hurricanes,Stars,NA
2019020996,CAR,H,2020-02-28,0,0,0,-2,0,0,0,0,0,20,0,0,COL,0,16:54,Hurricanes,Avalanche,NA
2019021004,CAR,R,2020-02-29,0,1,1,1,0,0,0,0,1,20,0,0,MTL,0,15:19,Hurricanes,Canadiens,NA
2019021037,CAR,R,2020-03-05,0,0,0,-1,0,0,0,0,0,19,0,0,PHI,0,16:26,Hurricanes,Flyers,NA
2019021049,CAR,R,2020-03-07,0,0,0,-2,0,0,0,0,2,17,0,0,NYI,0,13:21,Hurricanes,Islanders,NA
2019021059,CAR,R,2020-03-08,0,1,1,0,0,1,0,0,2,19,0,0,PIT,0,12:45,Hurricanes,Penguins,NA
2019021074,CAR,R,2020-03-10,0,0,0,0,0,0,0,0,2,16,0,0,DET,2,11:41,Hurricanes,Red Wings,NA
2020020010,CAR,R,2021-01-14,0,1,1,0,0,1,0,0,4,20,0,0,DET,0,15:56,Hurricanes,Red Wings,NA
2020020025,CAR,R,2021-01-16,0,0,0,-1,0,0,0,0,2,20,0,0,DET,0,15:03,Hurricanes,Red Wings,NA
2020020040,CAR,R,2021-01-18,0,0,0,2,0,0,0,0,0,20,0,0,NSH,0,15:08,Hurricanes,Predators,NA
2020020052,CAR,R,2021-03-02,0,1,1,1,0,0,0,0,0,23,0,0,NSH,0,16:50,Hurricanes,Predators,NA
2020020062,CAR,H,2021-02-17,0,0,0,-1,0,0,0,0,2,21,0,0,FLA,0,18:35,Hurricanes,Panthers,NA
2020020076,CAR,H,2021-03-07,0,1,1,1,0,0,0,0,0,17,0,0,FLA,0,15:19,Hurricanes,Panthers,NA
2020020097,CAR,H,2021-02-22,0,1,1,1,0,0,0,0,2,21,0,0,TBL,0,14:54,Hurricanes,Lightning,NA
2020020113,CAR,H,2021-01-28,1,0,1,1,0,0,1,1,4,22,0,0,TBL,0,19:37,Hurricanes,Lightning,NA
2020020128,CAR,H,2021-01-30,0,2,2,1,0,1,0,0,2,25,0,0,DAL,0,17:38,Hurricanes,Stars,NA
