"game_number","game_date","season","team_id","team_abbr","team_name","game_id","player_id","shots_against_ev","goals_against_ev","xga_ev","xgf_ev","team_change","team_xg_pct_ev","gsax_ev","cumulative_gsax_ev","sv_pct_ev","cumulative_sv_pct_ev","cumulative_goals_against_ev"
87,"2021-03-23",2020,1,"NJD","New Jersey Devils",2020020504,8478406,23,2,1.79299049520319,2.25473281286948,0,55.7037287695209,-0.207009504796806,1.07284801136897,0.91304347826087,0.921762589928058,174
88,"2021-03-25",2020,1,"NJD","New Jersey Devils",2020020517,8478406,19,4,2.31271852053777,1.57478750152065,0,40.5089405028575,-1.68728147946223,-0.614433468093253,0.789473684210526,0.920641997325011,178
89,"2021-03-28",2020,1,"NJD","New Jersey Devils",2020020541,8478406,31,0,1.33354565771398,1.14649331857891,0,46.2288427536193,1.33354565771398,0.719112189620728,1,0.921723834652595,178
90,"2021-03-30",2020,1,"NJD","New Jersey Devils",2020020556,8478406,43,3,2.98441213325384,2.28132103085742,0,43.3239011502866,-0.0155878667461642,0.703524322874564,0.930232558139535,0.92188174363401,181
91,"2021-04-02",2020,1,"NJD","New Jersey Devils",2020020580,8478406,33,2,1.68060511797154,2.06479686338042,0,55.1288452791147,-0.319394882028456,0.384129440846108,0.93939393939394,0.922127659574468,183
92,"2021-04-04",2020,1,"NJD","New Jersey Devils",2020020597,8478406,15,3,1.66599254418587,3.01906976954212,0,64.4403332842715,-1.33400745581413,-0.94987801496802,0.8,0.921353065539112,186
93,"2021-04-09",2020,1,"NJD","New Jersey Devils",2020020494,8478406,20,3,2.03727103224675,2.89473956107614,0,50.9579472129774,-0.962728967753248,-1.91260698272127,0.85,0.920754716981132,189
94,"2021-04-11",2020,1,"NJD","New Jersey Devils",2020020650,8478406,19,3,1.6423845390676,2.2726810169057,0,49.2453013720408,-1.3576154609324,-3.27022244365367,0.842105263157895,0.920133111480865,192
95,"2021-04-13",2020,1,"NJD","New Jersey Devils",2020020666,8478406,19,2,1.94906895251273,1.83482101786545,0,48.4903375158678,-0.0509310474872671,-3.32115349114094,0.894736842105263,0.919933966157656,194
96,"2021-04-15",2020,1,"NJD","New Jersey Devils",2020020676,8478406,32,4,1.96650839936006,1.90544031112017,0,49.211403703843,-2.03349160063994,-5.35464509178088,0.875,0.919348268839104,198
97,"2021-04-18",2020,1,"NJD","New Jersey Devils",2020020702,8478406,21,2,1.75153912976952,2.03499528471706,0,44.5651593519896,-0.248460870230477,-5.60310596201135,0.904761904761905,0.919224555735057,200
98,"2021-04-24",2020,1,"NJD","New Jersey Devils",2020020746,8478406,33,2,2.14396821920129,2.27408193961581,0,44.9898052664771,0.143968219201288,-5.45913774281007,0.93939393939394,0.919489836588282,202
99,"2021-04-25",2020,1,"NJD","New Jersey Devils",2020020216,8478406,32,3,1.76391858566224,2.10240280652364,0,54.3773420071273,-1.23608141433776,-6.69521915714782,0.90625,0.919323101141283,205
100,"2021-04-27",2020,1,"NJD","New Jersey Devils",2020020716,8478406,29,4,3.01526532882662,2.6753170305547,0,47.0130623124055,-0.984734671173377,-7.6799538283212,0.862068965517241,0.918677042801556,209
101,"2021-04-29",2020,1,"NJD","New Jersey Devils",2020020783,8478406,21,1,1.72711336522803,2.02970462243232,0,54.0272280717109,0.727113365228033,-6.95284046309317,0.952380952380952,0.918950212273254,210
102,"2021-05-01",2020,1,"NJD","New Jersey Devils",2020020798,8478406,29,1,2.46040174720859,1.15406608680139,0,31.9290733740198,1.46040174720859,-5.49243871588458,0.96551724137931,0.919465648854962,211
103,"2021-05-04",2020,1,"NJD","New Jersey Devils",2020020825,8478406,32,2,2.46736477852496,1.82950088640661,0,42.5775676753848,0.467364778524965,-5.02507393735961,0.9375,0.919683257918552,213
104,"2021-05-06",2020,1,"NJD","New Jersey Devils",2020020839,8478406,27,1,1.83582617701893,1.07358682393343,0,36.9004614876611,0.83582617701893,-4.18924776034068,0.962962962962963,0.920119447555058,214
105,"2021-05-08",2020,1,"NJD","New Jersey Devils",2020020855,8478406,24,4,2.14015120348188,1.763375202199,0,45.1739022344699,-1.85984879651812,-6.0490965568588,0.833333333333333,0.919348871624121,218
106,"2021-11-05",2021,1,"NJD","New Jersey Devils",2021020161,8478406,22,2,1.86373825382763,1.76929056220719,0,48.7001521815132,-0.136261746172366,-6.18535830303117,0.909090909090909,0.919266055045872,220
107,"2021-11-09",2021,1,"NJD","New Jersey Devils",2021020186,8478406,36,3,3.11238781920063,2.08168861447463,0,40.0781282496772,0.112387819200635,-6.07297048383053,0.916666666666667,0.919232162260051,223
108,"2021-11-11",2021,1,"NJD","New Jersey Devils",2021020199,8478406,37,0,2.65664260262319,2.13062854712184,0,44.5061180049372,2.65664260262319,-3.41632788120734,1,0.920300214438885,223
