"game_number","game_date","season","teamId","team_abbr","team_name","gameId","playerId","sA_ev","gA_ev","xGA_ev","xGF_ev","team_xg_pct_ev","ev_gsax","cumulative_ev_gsax","ev_sv_pct","cumulative_ev_sv_pct","cumulative_gA_ev"
1,"2018-12-18","2018",1,"NJD","New Jersey Devils",2018020518,8478406,10,2,1.31342689565177,1.60741293870477,55.0325601492243,-0.686573104348225,-0.686573104348225,0.8,0.8,2
2,"2018-12-20","2018",1,"NJD","New Jersey Devils",2018020535,8478406,26,2,2.63344090662799,1.67380897024744,38.8602708942825,0.63344090662799,-0.0531321977202353,0.923076923076923,0.888888888888889,4
3,"2018-12-23","2018",1,"NJD","New Jersey Devils",2018020559,8478406,7,0,0.499878120799626,2.1716672094219,81.2888025838522,0.499878120799626,0.446745923079391,1,0.906976744186046,4
4,"2018-12-27","2018",1,"NJD","New Jersey Devils",2018020567,8478406,36,2,1.76449128611322,2.26336192869422,56.1927609569661,-0.235508713886779,0.211237209192612,0.944444444444444,0.924050632911392,6
5,"2018-12-29","2018",1,"NJD","New Jersey Devils",2018020583,8478406,30,0,1.92715356759666,2.17353272006729,53.0041209591162,1.92715356759666,2.13839077678927,1,0.944954128440367,6
6,"2018-12-31","2018",1,"NJD","New Jersey Devils",2018020600,8478406,22,0,1.65194593975834,1.6476485274026,49.9348796890268,1.65194593975834,3.79033671654762,1,0.954198473282443,6
7,"2019-01-02","2018",1,"NJD","New Jersey Devils",2018020618,8478406,32,4,2.52157937079305,2.11208113081312,45.5812662598179,-1.47842062920695,2.31191608734066,0.875,0.938650306748466,10
8,"2019-01-04","2018",1,"NJD","New Jersey Devils",2018020634,8478406,4,0,0.153273912624529,2.2483796435364,93.6179840663805,0.153273912624529,2.46518999996519,1,0.940119760479042,10
9,"2019-01-12","2018",1,"NJD","New Jersey Devils",2018020687,8478406,29,2,2.14750960641189,1.60828044810068,42.8213618109014,0.147509606411889,2.61269960637708,0.931034482758621,0.938775510204082,12
10,"2019-01-14","2018",1,"NJD","New Jersey Devils",2018020707,8478406,30,4,1.7283947691015,3.51250493140406,67.0210294439566,-2.2716052308985,0.341094375478577,0.866666666666667,0.929203539823009,16
11,"2019-01-17","2018",1,"NJD","New Jersey Devils",2018020727,8478406,22,2,2.3913811388545,1.06459282780526,30.8044226627726,0.391381138854504,0.732475514333081,0.909090909090909,0.92741935483871,18
12,"2019-01-19","2018",1,"NJD","New Jersey Devils",2018020740,8478406,12,2,1.12918232078328,1.51965114492174,57.3705808461335,-0.870817679216715,-0.138342164883634,0.833333333333333,0.923076923076923,20
13,"2019-02-02","2018",1,"NJD","New Jersey Devils",2018020790,8478406,31,2,1.70643693965198,1.31826010038392,43.5832112418199,-0.29356306034802,-0.431905225231654,0.935483870967742,0.924398625429553,22
14,"2019-02-27","2018",1,"NJD","New Jersey Devils",2018020980,8478406,28,1,1.95686776737302,1.10170974043639,36.0203309421917,0.956867767373018,0.524962542141363,0.964285714285714,0.927899686520376,23
15,"2019-03-02","2018",1,"NJD","New Jersey Devils",2018021001,8478406,27,0,1.52608653351506,1.67249359832731,52.2886258711285,1.52608653351506,2.05104907565643,1,0.933526011560694,23
16,"2019-03-08","2018",1,"NJD","New Jersey Devils",2018021045,8478406,23,1,1.62128995350266,1.35511380440014,45.5285611302602,0.621289953502663,2.67233902915909,0.956521739130435,0.934959349593496,24
17,"2019-03-12","2018",1,"NJD","New Jersey Devils",2018021078,8478406,39,9,3.81006845136638,1.92556411124683,33.5719572379568,-5.18993154863363,-2.51759251947453,0.769230769230769,0.919117647058823,33
18,"2019-03-15","2018",1,"NJD","New Jersey Devils",2018021098,8478406,24,1,1.51447174065093,2.69687237105676,64.0382808794787,0.514471740650933,-2.0031207788236,0.958333333333333,0.921296296296296,34
19,"2019-03-19","2018",1,"NJD","New Jersey Devils",2018021122,8478406,22,4,1.64625175077527,1.70828750162438,50.9246538224995,-2.35374824922473,-4.35686902804833,0.818181818181818,0.916299559471366,38
20,"2019-03-23","2018",1,"NJD","New Jersey Devils",2018021150,8478406,20,1,1.73662398519394,1.67616865719932,49.114283603937,0.736623985193938,-3.6202450428544,0.95,0.917721518987342,39
21,"2019-03-29","2018",1,"NJD","New Jersey Devils",2018021199,8478406,30,3,2.33385657610853,2.04612876153844,46.7154249113918,-0.66614342389147,-4.28638846674587,0.9,0.916666666666667,42
22,"2019-04-01","2018",1,"NJD","New Jersey Devils",2018021222,8478406,28,1,2.47695269830812,3.86807365950765,60.9622945812191,1.47695269830812,-2.80943576843775,0.964285714285714,0.919172932330827,43
23,"2019-04-06","2018",1,"NJD","New Jersey Devils",2018021262,8478406,29,3,2.94455701361237,1.89076225285361,39.1031522151282,-0.0554429863876305,-2.86487875482538,0.896551724137931,0.918003565062389,46
24,"2019-10-04","2019",1,"NJD","New Jersey Devils",2019020013,8478406,9,2,1.14671174906136,3.32599471101875,74.3620163921775,-0.853288250938642,-3.71816700576402,0.777777777777778,0.91578947368421,48
25,"2019-10-05","2019",1,"NJD","New Jersey Devils",2019020018,8478406,27,4,1.83804703371317,1.32533451257322,41.8961321352172,-2.16195296628683,-5.88011997205086,0.851851851851852,0.912897822445561,52
26,"2019-10-10","2019",1,"NJD","New Jersey Devils",2019020049,8478406,16,1,1.35910570921144,2.63492942667574,65.9716135944922,0.359105709211437,-5.52101426283942,0.9375,0.913539967373573,53
